ID,Title,Abstract,StoreId,AlternateTitle,ArticleType,Authors,companies,copyright,digitalObjectIdentifier,documentType,entryDate,isbn,language,languageOfSummary,originalTitle,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,notes,subjectClassifications,subjectTerms,subjects,FindACopy,Database
558,Migrant collectives as new twenty first century transnational movements: The case of the Jamaican Diaspora,"In the past two decades the tendency to view migrant communities as victimized, without agency, or oppressed has been challenged by the new rhetoric of “Diaspora”. The recent formation of Diaspora movements globally suggests that these groups of migrants are not just financial remitters but are organized, visible collectives that influence the geo-political status quo in many ways. Scholars in social and cultural studies grapple with how best to define and understand these revived and reinvented migrant collectives. This case study brings clarifications to current understandings and interpretations of Diasporas. Utilizing qualitative methodology in conjunction with the analytical lenses of social movement theory and the rhetoric of movements, the study addresses the gaps in the literature on Diasporas by exploring the factors that contributed to the formation of the Jamaican Diaspora during the years 1962 to 2011. The results reveal that the unique nexus between the global and local contexts create distinctive “third spaces” out of which Diasporas emerge. This is significant since, traditionally, studies have granted preference to the creation of Diasporas in just the host countries. However, the case of Jamaica illustrates that the occurrences on the local level, in the homeland, are equally important in determining the manner in which Diasporas emerge. One such example is the changing attitudes of the Jamaican government towards its migrant community between 1990 and 2000 which affected the development, recognition and influence of the Jamaican Diaspora. As such, the findings call for a reopening and reconsideration of our understandings of Diasporas as not just transnational entities, but as transnational-national movements encompassing a very nationalistic element. This nationalistic element is evident in the way migrants mobilize around new conceptualizations of their identity, who they are and how they understand their nationality. This (re)created diasporic identity becomes the impetus and fuel for the Diaspora movement. Moving even beyond our conceptualization of movements, this study also connects Diasporas to the notion of publics. Migrant communities, like the Jamaican Diaspora, negotiate global and local terrains, operate as self-organized publics and form new public spaces in which a common identity, goal and imagination connects and motivate strangers.",1316993232,,Dissertations & Theses," Johnson, Nadja
Johnson
Nadja
Johnson, Nadja",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 2916108441 , 76252572 , 66569 , 9781267948175 , 3536495 , 3536495", Dissertation/Thesis, 2012, 9781267948175, English, English,,2012,ProQuest Dissertations and Theses,2012,https://search.proquest.com/docview/1316993232?accountid=14496," 0432 Caribbean Studies , 0459 Communication , 0700 Social structure"," 0432 Caribbean Studies , 0459 Communication , 0700 Social structure"," 0432 Caribbean Studies , 0459 Communication , 0700 Social structure",," 0432 Caribbean Studies , 0459 Communication , 0700 Social structure"," Caribbean Studies , Communication , Social structure"," Social sciences , Communication and the arts , Diaspora , Jamaica , Jamaican diaspora , Migrant collectives , Migration , Transnational movements",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Migrant+collectives+as+new+twenty+first+century+transnational+movements%3A+The+case+of+the+Jamaican+Diaspora&amp;issn=&amp;date=2012-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Johnson%2C+Nadja&amp;isbn=9781267948175&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
559,"Social movement momentum, intellectual work and the East Timor independence movement","The purpose of this dissertation is to develop the theoretical concept of social movement momentum by examining the origins, framing strategies, and organizational dynamics of the East Timor transnational social movement. To accomplish this, in-depth interviews of twenty activists and intellectuals involved in the East Timor movement from 1975-1999 were conducted and examined using qualitative data analysis methods. Specifically, comparative historical methods utilizing grounded theory and the phenomenological approach were employed. This study fills a gap in the social movement literature by engaging and expanding the main theoretical debates in sociology over movement mobilization, political outcomes, movement emotions, solidarity, and movement framing. These debates, along with the theoretical concept of social movement momentum as developed in this dissertation, are used to explain and analyze interviewees’ first-hand accounts of the East Timor campaigns. Specifically, framing disputes and turning points, as identified and described by participants, are used to explain the overall sequencing of social movement momentum as it developed in the East Timor movement. Findings include the following: (a) While participants perceived various previously-identified events as turning points for the movement, they also described additional turning points that created the feeling of inevitability of success for movement actors; (b) prior to 1995, there was little agreement regarding the diagnostic framing (problem identification) and prognostic framing (proposed solutions) amongst the challengers, which slowed or prevented momentum; (c) in 1995, intellectuals and activists felt a strong sense of social movement momentum, which manifested itself as a heightened sense that their goals would be attained within a short time; and (d) in 1999, political opportunities opened as the outside world, including some super-powers, became more accessible and sympathetic to the movement. This resulted in a series of successes that represent the peak of the momentum in the East Timor movement. In sum, this study aids researchers in understanding how the successes and failures of social movement activity can be better explained using the theoretical concept of social movement momentum. By analyzing the significance of momentum in a movement post hoc, this study contributes a more nuanced understanding of how social movements create social change.",1316993256,,Dissertations & Theses," Gunderson, Shane
Gunderson
Shane
Gunderson, Shane",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 2916108431 , 76252572 , 66569 , 9781267948168 , 3536494 , 3536494", Dissertation/Thesis, 2012, 9781267948168, English, English,,2012,ProQuest Dissertations and Theses,2012,https://search.proquest.com/docview/1316993256?accountid=14496," 0504 History of Oceania , 0561 Pacific Rim Studies , 0638 South Asian Studies , 0700 Social structure"," 0504 History of Oceania , 0561 Pacific Rim Studies , 0638 South Asian Studies , 0700 Social structure"," 0504 History of Oceania , 0561 Pacific Rim Studies , 0638 South Asian Studies , 0700 Social structure",," 0504 History of Oceania , 0561 Pacific Rim Studies , 0638 South Asian Studies , 0700 Social structure"," History of Oceania , Pacific Rim Studies , South Asian Studies , Social structure"," Social sciences , East Timor , Framing , Indonesia , Intellectuals , Momentum , Social movements , United Nations",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Social+movement+momentum%2C+intellectual+work+and+the+East+Timor+independence+movement&amp;issn=&amp;date=2012-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Gunderson%2C+Shane&amp;isbn=9781267948168&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
560,Linking the transnational and the domestic in social movements: The case of the Latin American women's movement,"The purpose of this dissertation is to investigate the international effects on domestic social movements. The goal is to create a typology of factors and mechanisms to more systematically understand how the international environment shapes domestic movements. In this dissertation I borrow from social movement theory and IR diffusion theory to look specifically at what international factors matters for domestic movements and to uncover mechanisms that illustrate how international actors and institutions are linked to domestic movement actors. What I found was that the three main approaches to the study of social movements—political opportunity structures, frames, and resources—are also essential to understanding transnational activism as they are to any other study seeking a comprehensive analysis of social movement activity. In addition, I found that diffusion theory offers the conceptual tools that provide a more concrete depiction of the relationship between transnational and domestic movement actors.",1318849227,,Dissertations & Theses," Wolfe, Angela J.
Wolfe
J.
Angela
Wolfe, Angela J.",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 2924150001 , 73118862 , 66569 , 9781267970107 , 3555449 , 3555449", Dissertation/Thesis, 2012, 9781267970107, English, English,,2012,ProQuest Dissertations and Theses,2012,https://search.proquest.com/docview/1318849227?accountid=14496," 0453 Womens studies , 0550 Latin American Studies , 0615 Political science"," 0453 Womens studies , 0550 Latin American Studies , 0615 Political science"," 0453 Womens studies , 0550 Latin American Studies , 0615 Political science",," 0453 Womens studies , 0550 Latin American Studies , 0615 Political science"," Womens studies , Latin American Studies , Political science"," Social sciences , Domestic movements , International activism , Latin America , Social movements , Women's movement",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Linking+the+transnational+and+the+domestic+in+social+movements%3A+The+case+of+the+Latin+American+women%27s+movement&amp;issn=&amp;date=2012-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Wolfe%2C+Angela+J.&amp;isbn=9781267970107&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
561,"Have Repertoire, Will Travel: INGOs and the Globalization of Nonviolence","Typical scholarly treatments of nonviolent protest tend to view protest movements as originating among regional mobilization efforts. This is problematic as both the targets and the dynamics of collective action networks have become increasingly transnational. Constructing a global level framework for repertoire emergence, I examine the structural and cultural changes shaping the development of a global nonviolence movement. I first analyze historical data outlining the global conceptualization, systematization, and institutionalization of the nonviolence repertoire. And I explain how the decentralized structure of the world polity and the development of a new global moral order sacralizing the human collective opened opportunities and established the basis for the emergence of a global repertoire of nonviolent claimsmaking routines. I then discuss, with analysis of a longitudinal statistical model, how international NGOs have become important markers of the potential for local movements to protest nonviolently. And I conclude by drawing on an in-depth interview and archival analysis of nonviolent INGOs to explain how they work to expand world cultural modes of claimsmaking. I detail their efforts in transforming the local political process and at fostering multi-level linkages, universalizing social problems, and in professionalizing the global spread of peace-work among civil societies.",1321488247,,Dissertations & Theses," Gallo-Cruz, Selina
Gallo-Cruz
Selina
Gallo-Cruz, Selina",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 2930553461 , 76690752 , 66569 , 9781267976680 , 3556046 , 3556046", Dissertation/Thesis, 2012, 9781267976680, English, English,,2012,ProQuest Dissertations and Theses,2012,https://search.proquest.com/docview/1321488247?accountid=14496, 0700 Social structure, 0700 Social structure, 0700 Social structure,, 0700 Social structure, Social structure," Social sciences , Globalization , International nongovernmental organizations (INGOs) , Nonviolence",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Have+Repertoire%2C+Will+Travel%3A+INGOs+and+the+Globalization+of+Nonviolence&amp;issn=&amp;date=2012-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Gallo-Cruz%2C+Selina&amp;isbn=9781267976680&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
562,"!Presente! Music, Mobilization, and Global Engagement: The Case of the Coalition of Immokalee Workers","This dissertation presents a case study of the migrant farmworker movement led by the Coalition of Immokalee Workers (CIW) in Immokalee, Florida. I conducted an interdisciplinary investigation that brings together the fields of social movements, ethnomusicology, and global studies. The research focuses on the formation and maintenance of ethnically diverse movements, the form and function of music and cultural repertoires in mobilization, and the relationship between local movements and global cultural processes. The movement has achieved remarkable success, as indicated by its interethnic solidarity among workers from Mexico, Guatemala, and Haiti, and its attainment of significant material improvements, including wage increases and improved working conditions. I argue that the movement’s cultural repertoires – such as music programs on CIW’s radio station, Radio Conciencia, and visual arts in Immokalee, and music and theater performances in public protests – were crucial to the movement’s success. Adopting an ethnographic approach, I conducted field research in Immokalee during the 2010-2011 tomato harvest season. I employed several interrelated research methods: interviews, participant observation, archival research, and photography. I also used the methods of ethnomusicology, which included tuning in to Radio Conciencia and performing the Mexican son jarocho tradition in public demonstrations. I found that farmworker unity was achieved through a forthright recognition of ethnic differences, in which ethnic identity took on new meanings to signify membership in an immigrant coalition. This articulation of ethnic identity was often expressed through music and other cultural practices. I also found that CIW’s attainment of material gains, such as a 70 percent wage increase and new rights protections, did not result from an increase in power or changes in federal laws. It was achieved through a strategy that targeted multinational corporations with a human rights framework, bypassing obstacles imposed by the state and relying on the power of legitimacy in the world polity. CIW effectively shamed its adversaries and conferred legitimacy on the movement through vibrant demonstrations filled with music, art, and theater. This study contributes to the study of social movement culture and globalization because it demonstrates how cultural aspects of mobilization can help movements with few resources succeed.",1321489962,,Dissertations & Theses," Soltis, Laura Emiko
Soltis
Emiko
Laura
Soltis, Laura Emiko",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 2930555081 , 76690792 , 66569 , 9781267971081 , 3555498 , 3555498", Dissertation/Thesis, 2012, 9781267971081, English, English,,2012,ProQuest Dissertations and Theses,2012,https://search.proquest.com/docview/1321489962?accountid=14496," 0413 Music , 0582 Modern history , 0631 Ethnic studies"," 0413 Music , 0582 Modern history , 0631 Ethnic studies"," 0413 Music , 0582 Modern history , 0631 Ethnic studies",," 0413 Music , 0582 Modern history , 0631 Ethnic studies"," Music , Modern history , Ethnic studies"," Social sciences , Communication and the arts , Coalition of Immokalee Workers , Culture , Ethnomusicology , Farmworker , Globalization , Interethnic , Social movements",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=%21Presente%21+Music%2C+Mobilization%2C+and+Global+Engagement%3A+The+Case+of+the+Coalition+of+Immokalee+Workers&amp;issn=&amp;date=2012-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Soltis%2C+Laura+Emiko&amp;isbn=9781267971081&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
563,"""Sounds for Adventurous Listeners"": Willis Conover, the Voice of America, and the international reception of avant-garde jazz in the 1960s","In “Sounds for Adventurous Listeners,” I argue that Conover’s role in the dissemination of jazz through the Music USA Jazz Hour was more influential on an educational level than what literature on Conover currently provides. Chapter 2 begins with an examination of current studies regarding the role of jazz in Cold War diplomacy, the sociopolitical implications of avant-garde jazz and race, the convergence of fandom and propaganda, the promoter as facilitator of musical trends, and the influence of international radio during the Cold War. In chapter 3 I introduce the Friends of Music USA Newsletter and explain its function as a record of overseas jazz reception and a document that cohered a global network of fans. I then focus on avant-garde debates of the 1960s and discuss Conover’s role overseas and in the United States. Chapter 4 engages social purpose and jazz criticism in the 1960s. I discuss Conover’s philosophy on social responsibility, and how his contributions intersected with other relevant discourses on race on the eve of the civil rights movement. I argue that Conover embodied two personas: one as jazz critic and promoter in the United States, and the other as an international intermediary. In chapter 5 I discuss how Conover presented the avant-garde to his overseas audience. I argue that through his efforts to broadcast jazz impartially, he legitimized avant-garde and emphasized its qualities as art music. In chapter 6 I explore fandom studies as they apply to the formation of Music USA as a global fan network. I discuss the early roots of Conover’s interest in science fiction fandom as a motivation for the implementation of the Friends of Music USA (FOMUSA) groups. Chapter 7 concludes in a discussion of the deification of Conover though the medium of radio in the midst of the Cold War. I argue that, through manipulation of sound resources, Conover composed his broadcasts in a way that allowed him to improvise creatively. Finally, I discuss the effect of a radio personality on crowds and the impact of Conover’s music programming in light of studies concerning deejays as objects of devotion.",1334925509,,Dissertations & Theses," Breckenridge, Mark A.
Breckenridge
A.
Mark
Breckenridge, Mark A.",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 2951016451 , 74078672 , 66569 , 9781267999078 , 3538081 , 3538081", Dissertation/Thesis, 2012, 9781267999078, English, English,,2012,ProQuest Dissertations and Theses,2012,https://search.proquest.com/docview/1334925509?accountid=14496," 0413 Music , 0451 Social psychology , 0708 Mass communications"," 0413 Music , 0451 Social psychology , 0708 Mass communications"," 0413 Music , 0451 Social psychology , 0708 Mass communications",," 0413 Music , 0451 Social psychology , 0708 Mass communications"," Music , Social psychology , Mass communications"," Communication and the arts , Psychology , 1960s , Avant-garde , Conover, Willis , Jazz , Radio , Reception , Voice of America",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=%22Sounds+for+Adventurous+Listeners%22%3A+Willis+Conover%2C+the+Voice+of+America%2C+and+the+international+reception+of+avant-garde+jazz+in+the+1960s&amp;issn=&amp;date=2012-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Breckenridge%2C+Mark+A.&amp;isbn=9781267999078&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
564,Implementing Preventive Education about HIV/AIDS through Physical Education in Zambia: The Response of Teachers,"Governments, United Nations (UN) agencies and international and local non-governmental organizations (NGOs) have mounted a concerted effort to remobilize sport as a vehicle for broad, sustainable social development. This resonates with the call by the UN Inter-agency Task Force for sport to be a key component in national and international development objectives. Missing in these efforts is an explicit focus on physical education within state schools, which still enroll most children in the global South. This study focuses on research into one of the few instances where physical education within the national curriculum is being revitalized as part of this growing interest in leveraging the appeal of sport and play as a means to address social development challenges such as HIV/AIDS. The study examines the response to the Zambian government’s 2006 Declaration of Mandatory Physical Education (with a preventive education focus on HIV/AIDS) by personnel charged with its implementation. The decree directed personnel to immediately begin implementing the teaching of physical education in all Basic and Secondary schools in Zambia to “ensure physical fitness and the enhancement of values, skills and holistic development of the learner” (Ministry of Education, 2006). The study examined the response of 17 teachers and education administrators from Lusaka province, Zambia. The interviews were conducted between September and December 2009. The purpose of the study was to: 1) evaluate the implementation of the Presidential Decree on physical education as a strategy for addressing HIV/AIDS through Physical Education and Traditional Zambian Games; 2) explore and understand the response of teachers and administrators to the implementation of the 2006 Presidential Decree on physical education; 3) explore how the school context influences the implementation of the Presidential Decree; and 4) map a critical path of key personnel and their resource requirements, and make recommendations for strengthening the effectiveness of HIV prevention education. Drawing on education policy implementation literature, this study provides an analysis of the rising influence of the sport for development movement and of the ways in which physical education and sport may address HIV/AIDS within national education in Zambia. The findings of the study reveal promising signs for the potential of physical education, and of particularly traditional games, for student engagement and for addressing HIV/AIDS. Yet these promising signs are undermined by poor planning and support from the education bureaucracy, deficiencies that stem from years of neglect of, until recently, non-examinable subjects such as physical education. The findings confirm that the literature on education policy implementation drawn mostly from the global North is just as applicable to education sectors in the global South.",1349630500,,Dissertations & Theses," Njelesani, Donald Lesa
Njelesani
Lesa
Donald
Njelesani, Donald Lesa",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 2965583831 , 76905382 , 66569 , 9780494970676 , NR97067 , NR97067", Dissertation/Thesis, 2012, 9780494970676, English, English,,2012,ProQuest Dissertations and Theses,2012,https://search.proquest.com/docview/1349630500?accountid=14496," 0523 Physical education , 0680 Health education"," 0523 Physical education , 0680 Health education"," 0523 Physical education , 0680 Health education",," 0523 Physical education , 0680 Health education"," Physical education , Health education"," Education , AIDS , Education , HIV , Implementation , Physical education , Policy , Preventive education , Sport for development , Teachers , Zambia",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Implementing+Preventive+Education+about+HIV%2FAIDS+through+Physical+Education+in+Zambia%3A+The+Response+of+Teachers&amp;issn=&amp;date=2012-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Njelesani%2C+Donald+Lesa&amp;isbn=9780494970676&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
565,"South Africa in the Changing World Order: Power, Finance and Society","What is the relationship between changes in world order and the organisation of finance in South Africa? And how do we understand these changes theoretically? To answer this question I employ Fernand Braudel's historical method of the study of material civilization—the constraints and possibilities on which the social world is based at any given point in time. This method provides an instructive and original explanation of societies, political power, economic modes of production, and the place that capitalism occupies historically and spatially within these contexts. My dissertation argues that patterns of both continuity and change in the world order are perceptible in South Africa as the country finds itself at the heart of historic shifts in world-economies. Change is observable at the boundaries of world-economies as arrangements in power, trade and investment shift to new political economic centres. South Africa is a zone historically linked to world-economies and reveals these movements. At the same time, global structures ensure continuity, through the power of neoliberal ideology and policies, the international financial institutions set up under American hegemony, the power of the global financial markets, and the enduring power of societal groups with links to transnational capitalism. This interplay between continuity and discontinuity are apparent in national contexts. The goal of this thesis is to study these different dimensions of change and continuity through an exploration of the edges where politics, economy, society, and state meet in post-apartheid South Africa. Looking at these `edges' provides us with evidence and insight about the robustness of capitalism in South Africa and its structural links to world order, or in other words, about its continuity or discontinuity. Investigation of these changes is achieved through applying Braudel's theoretical building blocks of multiple time frames, `world-economy' and the `set of sets,' concepts that unveils the multiplicity and complexity of social orders. Finally, I propose a reengagement with Braudel's thoughts and methods. Braudel's relevance lies in the potential of his theoretical framework to widen and thicken a rather compressed understanding of international political economy.",1367082640,,Dissertations & Theses," Cobbett, Elizabeth
Cobbett
Elizabeth
Cobbett, Elizabeth",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 2994085481 , 71240152 , 66569 , 9780494936627 , NR93662 , NR93662", Dissertation/Thesis, 2012, 9780494936627, English, English,,2012,ProQuest Dissertations and Theses,2012,https://search.proquest.com/docview/1367082640?accountid=14496," 0615 Political science , 0616 International law , 0654 South African Studies"," 0615 Political science , 0616 International law , 0654 South African Studies"," 0615 Political science , 0616 International law , 0654 South African Studies",," 0615 Political science , 0616 International law , 0654 South African Studies"," Political science , International law , South African Studies"," Social sciences , Capitalism , Finance , New world order , South Africa",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=South+Africa+in+the+Changing+World+Order%3A+Power%2C+Finance+and+Society&amp;issn=&amp;date=2012-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Cobbett%2C+Elizabeth&amp;isbn=9780494936627&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
566,Forging the link between faith and development: The history of the Canadian Catholic Organization for Development and Peace 1967–1982,"This dissertation is the first historical examination of the Canadian Catholic Organization for Development and Peace (CCODP), the official international development organization of the Catholic Church in Canada. Founded in 1967 by the Canadian bishops as a response to the Second Vatican Council's ""The Church in the Modern World"" ( Gaudium et Spes, 1965), Development and Peace was entrusted with a two-fold mandate: to provide financial support for socio-economic development projects in the so-called ""Third World"" (Latin America, Africa, and Asia) and to educate Canadians about the causes of global injustice. After fifteen years of experience, dialogue with local partners, and critical reflection, CCODP experienced a substantial maturation in how it understood its mandate. From 1967 to 1982, Development and Peace was transformed from a seasonal fundraising agency with a paternalistic understanding of economic development into a nationwide democratic movement that facilitated year-round educational campaigns and supported a proactive vision of social, political, economic and cultural development. This dissertation explores the evolution of Development and Peace's understanding of its original mandate across three main themes. First, CCODP's approach to international development slowly advanced beyond providing primarily economic assistance to a program of development that supported social, political, economic and cultural liberation. Fifteen years of field experience taught CCODP that lasting improvement in the Third World could only be achieved through projects that provided skills to members of local communities to take charge of their own lives and press for structural change. Second, Development and Peace expanded its education program from an isolated fundraising experience into an integrated year-long educational enterprise. During these years, the pedagogical approach of CCODP's Canadian education campaign moved from promotion to education to action. Third, Development and Peace spent much time and energy creating a democratic movement of active members across Canada that was empowered to guide the basic principles and orientation of the organization. Drawing theological inspiration from post-conciliar Catholic social teaching ( Populorum Progressio, the Medellín Conference in 1968, and ""Justice in the World""), Development and Peace became an active participant in the liberation of the world through solidarity, structural change and advocacy.",1400008833,,Dissertations & Theses," Baltutis, Peter Ernest
Baltutis
Ernest
Peter
Baltutis, Peter Ernest",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 3019740061 , 80453012 , 66569 , 9780494938164 , NR93816 , NR93816", Dissertation/Thesis, 2012, 9780494938164, English, English,,2012,ProQuest Dissertations and Theses,2012,https://search.proquest.com/docview/1400008833?accountid=14496," 0320 Religious history , 0601 International Relations"," 0320 Religious history , 0601 International Relations"," 0320 Religious history , 0601 International Relations",," 0320 Religious history , 0601 International Relations"," Religious history , International Relations"," Philosophy, religion and theology , Social sciences , Canadian Catholic Organization for Development and Peace (CCODP) , Faith , International development",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Forging+the+link+between+faith+and+development%3A+The+history+of+the+Canadian+Catholic+Organization+for+Development+and+Peace+1967%E2%80%931982&amp;issn=&amp;date=2012-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Baltutis%2C+Peter+Ernest&amp;isbn=9780494938164&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
567,"Afro-Colombian and Indigenous social movements: International influences, framing tactics, and state constructed identity","This thesis is a comparative analysis of Afro-Colombian and Indigenous social movements. It examines the intersection between political opportunity structure, international network influence, movement framing and identity construction. It also examines the ways in which indigenous and Afro-Colombian identities have been historically constructed by the state and subsequently contested by social movement actors. I argue that indigenous social movement success was possible due to the political opportunity structure of the Colombian National Constituent Assembly, supportive international networks, and effective framing tactics. Meanwhile Afro-Colombian groups did not have access to the National Constituent Assembly, did not have access to supportive international networks and framed their movement in a way which did not resonate with the majority of the Afro-Colombian population.",1418463471,,Dissertations & Theses," Terrell, Stacy
Terrell
Stacy
Terrell, Stacy",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 3039581261 , 68873142 , 66569 , 9781303206634 , 1540710 , 1540710", Dissertation/Thesis, 2012, 9781303206634, English, English,,2012,ProQuest Dissertations and Theses,2012,https://search.proquest.com/docview/1418463471?accountid=14496," 0296 African American Studies , 0550 Latin American Studies , 0601 International Relations , 0615 Political science , 0626 Sociology"," 0296 African American Studies , 0550 Latin American Studies , 0601 International Relations , 0615 Political science , 0626 Sociology"," 0296 African American Studies , 0550 Latin American Studies , 0601 International Relations , 0615 Political science , 0626 Sociology",," 0296 African American Studies , 0550 Latin American Studies , 0601 International Relations , 0615 Political science , 0626 Sociology"," African American Studies , Latin American Studies , International Relations , Political science , Sociology"," Social sciences , Afro-Colombian , Indigenous , Social movement",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Afro-Colombian+and+Indigenous+social+movements%3A+International+influences%2C+framing+tactics%2C+and+state+constructed+identity&amp;issn=&amp;date=2012-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Terrell%2C+Stacy&amp;isbn=9781303206634&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
